id,pillar,hook,caption_full,cta_keyword
1,Education,Tu CV pasó por el ATS. El problema es que llegó hecho pedazos.,"Tu CV pasó por el ATS. El problema es que llegó hecho pedazos.\n\nLos sistemas ATS extraen el texto de tu archivo antes de que cualquier reclutador lo abra. Y si usaste columnas, tablas o un diseño con header y footer separados, el texto llega revuelto. Nombre donde debería ir la experiencia, fechas flotando en el aire.\n\nNo es que estés poco calificado. Es que el archivo no es legible para el sistema.\n\nManda 'ATS' a mis DMs y reviso tu CV gratis.\n\n#CVenEspañol #ATS #BusquedaDeEmpleo #TrabajoRemoto #CVLatam #ConsejoDeCV #OptimizarCV #FiltroATS #LinkedInLatam #ResumeLatam #EmpleoRemoto #CarreraLatam #CVProfesional #TipsDeCV #WorqAI",ATS
2,Education,El título de tu LinkedIn es la razón por la que los reclutadores no te encuentran.,"El título de tu LinkedIn es la razón por la que los reclutadores no te encuentran.\n\nNo buscan 'profesional apasionado por la tecnología'. Buscan 'Data Analyst' o 'Project Manager' o el cargo exacto que quieren llenar. Si tu headline dice algo genérico, no aparecés en esos filtros.\n\nCambié el mío a 'UX Designer | Figma | SaaS' y en dos semanas recibí 4 mensajes de reclutadores. Mismo perfil, título diferente.\n\nManda 'LINKEDIN' a mis DMs y te digo qué cambiaría en el tuyo.\n\n#LinkedIn #OptimizarLinkedIn #BusquedaDeEmpleo #TrabajoRemoto #TipsLinkedIn #PerfilLinkedIn #EmpleoLatam #RecursosHumanos #CVLatam #CarreraLatam #LinkedInTips #BuscandoEmpleo #TrabajoOnline #WorqAI #EstrategiaLaboral",LINKEDIN
3,Education,PDF no siempre significa que el ATS puede leer tu CV.,"PDF no siempre significa que el ATS puede leer tu CV.\n\nDepende de cómo fue creado el PDF. Un PDF exportado desde Word con formato simple: legible. Un PDF generado desde Canva o cualquier herramienta de diseño: el texto está incrustado en imágenes, el ATS no lee imágenes.\n\nPrueba básica: abrí tu CV en PDF, seleccioná todo el texto con Ctrl+A y copialo en un bloc de notas. Si el resultado es un caos, el ATS recibe exactamente eso.\n\nManda 'CHECK' a mis DMs y te cuento cómo arreglarlo.\n\n#ATS #FormatoCV #CVProfesional #BusquedaDeEmpleo #TipsDeCV #CVLatam #TrabajoRemoto #OptimizarCV #FiltroATS #ConsejoDeCV #EmpleoRemoto #CarreraLatam #ResumeLatam #WorqAI #EmprendimientoLatam",CHECK
4,Education,La sección de habilidades de tu CV probablemente no tiene las palabras que el trabajo busca.,"La sección de habilidades de tu CV probablemente no tiene las palabras que el trabajo busca.\n\nCada oferta de trabajo tiene un vocabulario. 'Gestión de proyectos' y 'Project Management' no son lo mismo para un ATS aunque vos sepas que son lo mismo. El sistema compara texto con texto.\n\nLo que funciona: copiar la descripción del trabajo, encontrar las palabras clave que se repiten más de dos veces e incluirlas exactamente en tu CV. No inventarlas, incluirlas si realmente tenés esa experiencia.\n\nManda 'ANALIZAR' a mis DMs y te explico cómo hacerlo en 10 minutos.\n\n#PalabrasClave #ATS #OptimizarCV #BusquedaDeEmpleo #CVLatam #TipsDeCV #TrabajoRemoto #FiltroATS #ConsejoDeCV #EmpleoLatam #CarreraLatam #ResumeLatam #CVProfesional #WorqAI #LinkedInLatam",ANALIZAR
5,Education,Mandaste 40 aplicaciones. 3 respuestas. El CV no es el único problema.,"Mandaste 40 aplicaciones. 3 respuestas. El CV no es el único problema.\n\nHay dos filtros antes de que un humano vea tu postulación: el ATS que parsea el archivo y el algoritmo de la plataforma que prioriza candidatos con perfil completo en LinkedIn.\n\nSi tu LinkedIn tiene menos de 500 conexiones, sin recomendaciones, y el título no coincide con el puesto al que aplicás, el sistema ya te bajó el score antes de que nadie abra nada.\n\nNo es un juicio moral. Es matemática.\n\nManda 'DIAGNÓSTICO' a mis DMs y vemos qué está frenando tus postulaciones.\n\n#BusquedaDeEmpleo #ATS #LinkedIn #CVLatam #OptimizarCV #TrabajoRemoto #FiltroATS #EmpleoLatam #ConsejoDeCV #CarreraLatam #TipsDeCV #LinkedInTips #ResumeLatam #WorqAI #EstrategiaLaboral",DIAGNÓSTICO
6,Authority,El 73% de los CVs en LATAM son rechazados antes de que los lea un reclutador.,"El 73% de los CVs en LATAM son rechazados antes de que los lea un reclutador.\n\nNo por falta de experiencia. Por formato: columnas que el ATS no puede parsear, fuentes que no se convierten bien a texto plano, secciones sin encabezados estándar.\n\nEl sistema filtra primero. El humano llega después, si llegás.\n\nEso es lo que WorqAI resuelve: templates que el ATS puede leer correctamente, en español o en inglés, sin diseño que rompa el parseo.\n\nManda 'FILTRO' a mis DMs y te digo si tu CV tiene ese problema.\n\n#CVLatam #ATS #FiltroATS #BusquedaDeEmpleo #OptimizarCV #TrabajoRemoto #DatosDeEmpleo #EmpleoLatam #CarreraLatam #ConsejoDeCV #TipsDeCV #WorqAI #CVProfesional #ResumeLatam #LinkedInLatam",FILTRO
7,Authority,El 68% de los trabajos remotos que contratan talento LATAM piden CV en inglés.,"El 68% de los trabajos remotos que contratan talento LATAM piden CV en inglés.\n\nPero el 81% de los profesionales LATAM no tiene una versión en inglés de su CV lista. Y cuando la arman con ChatGPT, el resultado suena a plantilla genérica que cualquier reclutador de Silicon Valley identifica en 10 segundos.\n\nEl problema no es el idioma. Es que un CV en inglés tiene convenciones distintas: sin foto, sin fecha de nacimiento, sin 'objetivo profesional', fechas en formato distinto.\n\nManda 'CV' a mis DMs y te explico qué cambia entre un CV en español y uno en inglés.\n\n#CVEnIngles #TrabajoRemoto #BusquedaDeEmpleo #CVLatam #RemoteWork #EmpleoRemoto #TrabajoOnline #CarreraLatam #TipsDeCV #OptimizarCV #WorqAI #ResumeLatam #EmpleoLatam #LinkedInLatam #ConsejoDeCV",CV
8,Authority,Aplicar a trabajo remoto desde LATAM tiene una tasa de respuesta del 4% en promedio.,"Aplicar a trabajo remoto desde LATAM tiene una tasa de respuesta del 4% en promedio.\n\nNo porque el talento sea menor. Porque hay fricciones que los candidatos LATAM tienen y los candidatos de EEUU no: CVs con fotos que los ATS de empresas americanas rechazan, secciones con nombres que no mapean a los campos estándar, formatos de fecha que no coinciden.\n\nCada una de esas fricciones es eliminable. No en semanas, en una tarde.\n\nManda 'REVISAR' a mis DMs y vemos cuáles tiene el tuyo.\n\n#TrabajoRemoto #RemoteWork #CVLatam #BusquedaDeEmpleo #EmpleoRemoto #ATS #OptimizarCV #CarreraLatam #TipsDeCV #WorqAI #ResumeLatam #TrabajoOnline #EmpleoLatam #FiltroATS #ConsejoDeCV",REVISAR
9,Authority,LinkedIn tiene 900 millones de usuarios. Solo el 1% aparece en búsquedas de reclutadores.,"LinkedIn tiene 900 millones de usuarios. Solo el 1% aparece en búsquedas de reclutadores.\n\nNo porque el 99% sea menos calificado. Porque el algoritmo de LinkedIn prioriza perfiles con: resumen completo, 5 o más habilidades, actividad reciente (posts, comentarios o artículos), y al menos 3 conexiones de primer grado en la industria objetivo.\n\nSi tu perfil está incompleto o inactivo, LinkedIn literalmente no lo muestra en los resultados de búsqueda de reclutadores.\n\nManda 'PASA' a mis DMs y te digo qué está bajando tu visibilidad.\n\n#LinkedIn #OptimizarLinkedIn #BusquedaDeEmpleo #PerfilLinkedIn #LinkedInTips #CarreraLatam #EmpleoLatam #TrabajoRemoto #CVLatam #WorqAI #TipsLinkedIn #EstrategiaLaboral #EmpleoRemoto #ConsejoDeCV #ResumeLatam",PASA
10,Authority,Mandé el mismo CV con y sin foto a la misma empresa. Los resultados fueron distintos.,"Mandé el mismo CV con y sin foto a la misma empresa. Los resultados fueron distintos.\n\nCon foto: silencio. Sin foto: llamada de screening.\n\nEn LATAM tenemos la costumbre de poner foto en el CV porque así lo pedían antes. Pero las empresas que usan ATS automatizan el primer filtro y algunos sistemas directamente descartan CVs con imágenes incrustadas porque el archivo es más pesado y el parseo de texto falla.\n\nSi aplicás a trabajo remoto o a multinacionales: sin foto.\n\nManda 'AUDIT' a mis DMs y te explico qué más conviene quitar o agregar.\n\n#CVLatam #ATS #BusquedaDeEmpleo #OptimizarCV #FotoEnCV #ConsejoDeCV #TrabajoRemoto #EmpleoLatam #TipsDeCV #WorqAI #ResumeLatam #CarreraLatam #FiltroATS #CVProfesional #LinkedInLatam",AUDIT
